,Name,Season,Position,Rookie Season Fantasy Points,Ffpts_Gp,Team,Games_Played,Pass_Comp,Pass_Att,Pass_Yd,Pass_Td,Pass_Int,Rush_Att,Rush_Yd,Rush_Td,Rec_Target,Rec_Reception,Rec_Yd,Rec_Td,Fgm,Fga,Epm,Epa,Tackle,Assist,Sack,Pd,Int,Ff,Fr,Draft_Pick,Height_Combine,Weight_Combine,Wonderlic,Forty_Yard,Bench_Press,Vertical_Leap,Broad_Jump,Shuttle,Three_Cone,Pass Att_Sum,Pass Comp_Sum,Pass Conv_Sum,Pass Int_Sum,Pass Td_Sum,Pass Yard_Sum,Qb Hurry_Sum,Rec_Sum,Rec Td_Sum,Rec Yards_Sum,Rush Att_Sum,Rush Td_Sum,Rush Yard_Sum,Fumble_Sum,Fumble Lost_Sum,Kickoff Ret_Sum,Kickoff Ret Td_Sum,Kickoff Ret Yard_Sum,Kickoff Touchback_Sum,Punt Ret_Sum,Punt Ret Td_Sum,Punt Ret Yard_Sum,Off 2Xp Att_Sum,Off 2Xp Made_Sum,Points_Sum,Tackle Assist_Sum,Tackle For Loss_Sum,Tackle For Loss Yard_Sum,Tackle Solo_Sum,Pass Broken Up_Sum,Sack_Sum,Sack Yard_Sum,Int Ret_Sum,Int Ret Td_Sum,Int Ret Yard_Sum,Misc Ret_Sum,Misc Ret Td_Sum,Misc Ret Yard_Sum,Kick/Punt Blocked_Sum,Fumble Forced_Sum,Fum Ret_Sum,Fum Ret Td_Sum,Fum Ret Yard_Sum,Def 2Xp Att_Sum,Def 2Xp Made_Sum,Safety_Sum,Field Goal Att_Sum,Field Goal Made_Sum,Off Xp Kick Att_Sum,Off Xp Kick Made_Sum,Punt_Sum,Punt Yard_Sum,Kickoff_Sum,Kickoff Yard_Sum,Kickoff Onside_Sum,Kickoff Out-Of-Bounds_Sum,Pass Att_Mean,Pass Comp_Mean,Pass Conv_Mean,Pass Int_Mean,Pass Td_Mean,Pass Yard_Mean,Qb Hurry_Mean,Rec_Mean,Rec Td_Mean,Rec Yards_Mean,Rush Att_Mean,Rush Td_Mean,Rush Yard_Mean,Fumble_Mean,Fumble Lost_Mean,Kickoff Ret_Mean,Kickoff Ret Td_Mean,Kickoff Ret Yard_Mean,Kickoff Touchback_Mean,Punt Ret_Mean,Punt Ret Td_Mean,Punt Ret Yard_Mean,Off 2Xp Att_Mean,Off 2Xp Made_Mean,Points_Mean,Tackle Assist_Mean,Tackle For Loss_Mean,Tackle For Loss Yard_Mean,Tackle Solo_Mean,Pass Broken Up_Mean,Sack_Mean,Sack Yard_Mean,Int Ret_Mean,Int Ret Td_Mean,Int Ret Yard_Mean,Misc Ret_Mean,Misc Ret Td_Mean,Misc Ret Yard_Mean,Kick/Punt Blocked_Mean,Fumble Forced_Mean,Fum Ret_Mean,Fum Ret Td_Mean,Fum Ret Yard_Mean,Def 2Xp Att_Mean,Def 2Xp Made_Mean,Safety_Mean,Field Goal Att_Mean,Field Goal Made_Mean,Off Xp Kick Att_Mean,Off Xp Kick Made_Mean,Punt_Mean,Punt Yard_Mean,Kickoff_Mean,Kickoff Yard_Mean,Kickoff Onside_Mean,Kickoff Out-Of-Bounds_Mean,Class,College,Conference,Subn,Height_Ncaa,Weight_Ncaa,Home Country,Home State,Home Town,Last School
0,Husain Abdullah,2008,Defensive Back,17,1.1,MIN,16,,,,,,,,,,,,,,,,,14,6,0,0,0,0,0,,73,204,,4.63,16,32.5,115,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,6,39,8.5,21,54,6,,,4,1,114,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3.25,0.708333333,1.75,4.5,0.5,,,0.333333333,0.083333333,9.5,,,,0.083333333,0.083333333,,,,,,,,,,,,,,,,,SR,washingtonstate,Pac-12 Conference,FBS,,199,US,CA,Pomona,Pomona
1,Victor Abiamiri,2007,Defensive Lineman,2.5,0.4,PHI,6,,,,,,,,,,,,,,,,,2,1,0,0,0,0,0,57,76,267,,4.8,25,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,17,15,88,25,,10.5,73,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1.166666667,,,,,,,,,,,,,,,,,,,1.416666667,1.25,7.333333333,2.083333333,,0.875,6.083333333,,,,,,,,0.166666667,,,,,,,,,,,,,,,,,SR,notredame,Independent,FBS,,,,,,
2,Emmanuel Acho,2013,Linebacker,1.5,1.5,PHI,1,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,204,74,238,,4.64,24,35.5,118,,,,,,,,,7,,,,,,,,,,,,,,,,,,,56,14.5,38,61,5,3,12,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,0.538461538,,,,,,,,,,,,,,,,,,,4.307692308,1.115384615,2.923076923,4.692307692,0.384615385,0.230769231,0.923076923,,,,,,,,0.076923077,,,,,,,,,,,,,,,,,SR,texas,Big 12 Conference,FBS,74,245,US,TX,Dallas,St. Mark's
3,Sam Acho,2011,Linebacker,82.5,5.2,ARI,16,,,,,,,,,,,,,,,,,36,5,7,2,0,4,1,103,74,262,,4.67,23,33.5,112,4.32,6.69,,,,,,,12,,,,,,,,,,,,,,,,,,,19,15.5,123,39,1,8,79,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.583333333,1.291666667,10.25,3.25,0.083333333,0.666666667,6.583333333,,,,,,,,0.416666667,,,,,,,,,,,,,,,,,SR,texas,Big 12 Conference,FBS,75,260,US,TX,Dallas,St. Mark's
4,Darvin Adams,2011,Wide Receiver,0,0,CAR,2,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,74,190,,4.56,,,,,,,,,,,,,52,7,963,,,,,,,,,,2,,21,,,42,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.714285714,0.5,68.78571429,,,,,,,,,,0.142857143,,1.5,,,3,,,,0.142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,JR,auburn,Southeastern Conference,FBS,75,185,US,GA,Kennesaw,Harrison
5,Gaines Adams,2007,Defensive Lineman,57,3.6,TB,16,,,,,,,,,,,,,,,,,27,10,5,2,0,1,0,4,77,258,,4.64,,35,119,4.36,7.17,,,,,,,10,,,,,,,,,,,,,,,,,,6,18,16.5,88,33,6,12.5,79,,,,,,,,2,2,1,71,,,,,,,,,,,,,,,,,,,,0.769230769,,,,,,,,,,,,,,,,,,0.461538462,1.384615385,1.269230769,6.769230769,2.538461538,0.461538462,0.961538462,6.076923077,,,,,,,,0.153846154,0.153846154,0.076923077,5.461538462,,,,,,,,,,,,,,SR,clemson,Atlantic Coast Conference,FBS,,,,,,
6,Joseph Adams,2012,Wide Receiver,2,0.5,CAR,4,,,,,,3,13,0,1,1,7,0,,,,,,,,,,,,104,71,179,,4.51,,36,123,,7.09,,,,,,,,54,3,652,10,1,139,5,2,,,,,19,4,321,,,48,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,0.25,54.33333333,0.833333333,0.083333333,11.58333333,0.416666667,0.166666667,,,,,1.583333333,0.333333333,26.75,,,4,,,,0.083333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,arkansas,Southeastern Conference,FBS,71,190,US,AR,Little Rock,Central Arkansas Christian HS
7,Kris Adams,2012,Wide Receiver,2.6,0.9,IND,3,,,,,,0,0,0,8,2,26,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,14,1070,,,,1,,1,,-2,,,,,,,84,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.615384615,1.076923077,82.30769231,,,,0.076923077,,0.076923077,,-0.153846154,,,,,,,6.461538462,,,,0.076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,texaselpaso,Conference USA,FBS,75,195,US,TX,Fort Worth,Everman
8,Kyle Adams,2011,Tight End,0,0,CHI,8,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,,244,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,20.33333333,,,,,,,,,,,,,,,,,,,0.166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,SR,purdue,Big Ten Conference,FBS,76,251,US,TX,Austin,Westlake
9,Michael Adams,2009,Defensive Back,47.5,3,ARI,16,,,,,,,,,,,,,,,,,37,3,0,4,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,,112,,9,,67,,,6,16,1.5,6,24,3,1,5,1,1,79,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,11.2,,0.9,,6.7,,,0.6,1.6,0.15,0.6,2.4,0.3,0.1,0.5,0.1,0.1,7.9,0.1,,,0.1,,,,,,,,,,,,,,,,,,SR,louisianalafayette,Sun Belt Conference,FBS,,,,,,
